Classification_file	Sorted_output_file	Size_min:max	Removed_tools	Only_Selected_tools	P_Autonomous_lib_file	Total_TEs_lib_file	Total_repeats_lib_file
Copia	Copia_FL_sorted	2500:20000	na	na	yes	yes	yes
Copia	Copia_frag_sorted	200:2500	na	na	no	yes	yes
Gypsy	Gypsy_FL_sorted	2500:20000	na	na	yes	yes	yes
Gypsy	Gypsy_frag_sorted	200:2500	na	na	no	yes	yes
Bel-Pao	Bel-Pao_FL_sorted	2500:20000	na	na	yes	yes	yes
Bel-Pao	Bel-Pao_frag_sorted	200:2500	na	na	no	yes	yes
Retrovirus	Retrovirus_FL_sorted	2500:20000	na	na	yes	yes	yes
Retrovirus	Retrovirus_frag_sorted	200:2500	na	na	no	yes	yes
ERV	ERV_FL_sorted	2500:20000	na	na	yes	yes	yes
ERV	ERV_frag_sorted	200:2500	na	na	no	yes	yes
DIRS	DIRS_FL_sorted	2500:20000	na	na	yes	yes	yes
DIRS	DIRS_frag_sorted	200:2500	na	na	no	yes	yes
Ngaro	Ngaro_FL_sorted	2500:20000	na	na	yes	yes	yes
Ngaro	Ngaro_frag_sorted	200:2500	na	na	no	yes	yes
Viper	Viper_FL_sorted	2500:20000	na	na	yes	yes	yes
Viper	Viper_frag_sorted	200:2500	na	na	no	yes	yes
PLN	PLN_FL_sorted	2500:20000	na	na	yes	yes	yes
PLN	PLN_frag_sorted	200:2500	na	na	no	yes	yes
R2	R2_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
R2	R2_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
RTE	RTE_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
RTE	RTE_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
Jockey	Jockey_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
Jockey	Jockey_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
L1	L1_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
L1	L1_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
I	I_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
I	I_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
tRNA	tRNA_sorted	100:1000	LTRharvest	na	no	yes	yes
7SL	7SL_sorted	100:1000	LTRharvest	na	no	yes	yes
5S	5S_sorted	100:1000	LTRharvest	na	no	yes	yes
Mariner	Mariner_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
Mariner	Mariner_frag_sorted	200:800	LTRharvest	na	no	yes	yes
hAT	hAT_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
hAT	hAT_frag_sorted	200:800	LTRharvest	na	no	yes	yes
MuDR	MuDR_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
MuDR	MuDR_frag_sorted	200:800	LTRharvest	na	no	yes	yes
Merlin	Merlin_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
Merlin	Merlin_frag_sorted	200:800	LTRharvest	na	no	yes	yes
Transib	Transib_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
Transib	Transib_frag_sorted	200:800	LTRharvest	na	no	yes	yes
P	P_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
P	P_frag_sorted	200:800	LTRharvest	na	no	yes	yes
PiggyBac	PiggyBac_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
PiggyBac	PiggyBac_frag_sorted	200:800	LTRharvest	na	no	yes	yes
PIF-Harbinger	Harbinger_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
PIF-Harbinger	Harbinger_frag_sorted	200:800	LTRharvest	na	no	yes	yes
CACTA	CACTA_FL_sorted	800:15000	LTRharvest	na	yes	yes	yes
CACTA	CACTA_frag_sorted	200:800	LTRharvest	na	no	yes	yes
Crypton	Crypton_FL_sorted	2000:15000	LTRharvest	na	yes	yes	yes
Crypton	Crypton_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
Helitron	Helitron_FL_sorted	4000:20000	LTRharvest	na	yes	yes	yes
Helitron	Helitron_frag_sorted	200:4000	LTRharvest	na	no	yes	yes
Maverick	Maverick_FL_sorted	4000:20000	LTRharvest	na	yes	yes	yes
Maverick	Maverick_frag_sorted	200:4000	LTRharvest	na	no	yes	yes
LTR_undefined	LTR_undefined_FL_sorted	2500:20000	na	na	yes	yes	yes
LTR_undefined	LTR_undefined_frag_sorted	200:2500	na	na	no	yes	yes
DIRS_undefined	DIRS_undefined_FL_sorted	2500:20000	na	na	yes	yes	yes
DIRS_undefined	DIRS_undefined_frag_sorted	200:2500	na	na	no	yes	yes
PLN_undefined	PLN_undefined_FL_sorted	2500:20000	na	na	yes	yes	yes
PLN_undefined	PLN_undefined_frag_sorted	200:2500	na	na	no	yes	yes
TIR_undefined	TIR_undefined_FL_sorted	2500:20000	na	na	yes	yes	yes
TIR_undefined	TIR_undefined_frag_sorted	200:2500	na	na	no	yes	yes
LINE_undefined	LINE_undefined_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
LINE_undefined	LINE_undefined_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
Crypton_undefined	Crypton_undefined_FL_sorted	2000:20000	LTRharvest	na	yes	yes	yes
Crypton_undefined	Crypton_undefined_frag_sorted	200:2000	LTRharvest	na	no	yes	yes
Helitron_undefined	Helitron_undefined_FL_sorted	4000:20000	LTRharvest	na	yes	yes	yes
Helitron_undefined	Helitron_undefined_frag_sorted	200:4000	LTRharvest	na	no	yes	yes
Maverick_undefined	Maevrick_undefined_FL_sorted	4000:20000	LTRharvest	na	yes	yes	yes
Maverick_undefined	Maevrick_undefined_frag_sorted	200:4000	LTRharvest	na	no	yes	yes
SINE_undefined	SINE_undefined_sorted	100:1000	na	SINEfinder:TEdenovo:RepeatScout	no	yes	yes
MITE_undefined	MITE_sorted	100:1500	na	Mite-hunter:TEdenovo:RepeatScout	no	yes	yes
LARD_undefined	LARD_sorted	3000:20000	na	TEdenovo:RepeatScout	no	yes	yes
TRIM_undefined	TRIM_sorted	500:5000	na	TEdenovo:RepeatScout	no	yes	yes
ClassI_undefined	ClassI_undefined_sorted	200:20000	na	TEdenovo:RepeatScout	no	yes	yes
ClassII_undefined	ClassII_undefined_sorted	200:20000	na	TEdenovo:RepeatScout	no	yes	yes
noCAT	noCAT_sorted	200:20000	na	TEdenovo:RepeatScout	no	no	yes
